Log Mode	Log Freq	Timestamp	AccX	AccY	AccZ	GyroX	GyroY	GyroZ	MagnX	MagnY	MagnZ	qw	qi	qj	qk
5	200	1650449513	623.664	228.384	796.416	-8.536586	11.34146	2.926829	-520	-184	-554	0.930527	0.1048616	-0.3449812	-0.06411938
5	200	1650449513	649.284	211.548	754.692	-8.170732	11.21951	2.439024	-520	-184	-554	0.930396	0.1040071	-0.3456832	-0.06363109
5	200	1650449513	613.416	213.744	765.672	-7.560976	10	1.829268	-519	-183	-553	0.9305141	0.1031526	-0.3456832	-0.06329539
5	200	1650449513	635.376	217.404	763.476	-7.804878	6.585366	1.097561	-519	-183	-553	0.9304954	0.1024811	-0.3459883	-0.0629902
5	200	1650449513	605.364	212.28	769.332	-7.804878	4.756098	0.9756098	-518	-184	-554	0.9307584	0.102237	-0.3453475	-0.06302072
5	200	1650449513	630.252	211.548	782.508	-7.439024	3.536585	0.2439024	-518	-184	-554	0.9306446	0.1020539	-0.3457137	-0.0629902
5	200	1650449513	598.044	213.012	763.476	-7.195122	3.170732	0	-519	-182	-552	0.9309905	0.101413	-0.3449813	-0.06292918
5	200	1650449513	614.88	217.404	767.868	-6.829268	3.414634	0.6097561	-519	-182	-552	0.930704	0.1022065	-0.3454695	-0.06320383
5	200	1650449513	609.756	219.6	781.044	-7.195122	2.804878	0.6097561	-519	-183	-555	0.9311383	0.1019013	-0.3443709	-0.06329539
5	200	1650449513	606.828	225.456	767.868	-8.170732	0.9756098	0.9756098	-519	-183	-555	0.9311935	0.1027558	-0.3438825	-0.06375316
5	200	1650449513	612.684	226.188	758.352	-9.146341	-0.4878049	1.219512	-517	-183	-553	0.9313183	0.1027558	-0.3435164	-0.06390577
5	200	1650449513	624.396	217.404	789.828	-9.756098	-2.073171	2.317073	-517	-182	-554	0.9312329	0.1025727	-0.343791	-0.06396679
5	200	1650449513	617.076	213.012	770.064	-9.878049	-2.560976	2.317073	-517	-182	-554	0.931264	0.1022065	-0.3438215	-0.06393628
5	200	1650449513	607.56	207.156	753.228	-10	-2.926829	2.560976	-517	-181	-554	0.9313192	0.1015351	-0.3438826	-0.06387525
5	200	1650449513	630.252	238.632	773.724	-10.2439	-2.439024	2.439024	-517	-181	-554	0.9309357	0.1013825	-0.3449813	-0.06378369
